Item Link,Title,New Price,Old Price,Availability
https://brickseek.com/walmart-inventory-checker/?sku=972961250,"Jetson Litho X Hoverboard | Weight Limit 220 lb, 12+ | Grey | Lava LED technology, Light-Up Deck, Illuminated Rims/Tires, 500-Watt Motor | Top Speed of 10 MPH | 10 Mi Range | 5 Hr Charge Time",$118.00,$148.00,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=670833474,"Igloo 25 qt. Picnic Basket Cooler, Green",$29.97,$34.36,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=359658485,HART 20-Volt Cordless LED Spot Light (Battery Not Included),$20.00,$44.88,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=335641691,"Great Value Everyday Facial Tissues, 320 Sheets, 4 Pack",$3.58,N/A,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=398578306,"Jetson Plasma Hoverboard | Weight Limit 220 lb, Ages 12+ | Black | LED Liquid Light Patterns, Anti-Slip, All-Terrain Tires | 10 MPH | Range 10 Miles | 3 Hr Charge Time | 36V, 2.5Ah Lithium-Ion",$128.00,$148.00,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=48628870,"Evenflo Triumph LX Harness Convertible Car Seat, Blue",$89.25,$119.00,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=527646735,Hyper Tough 6 Outlet Grounded White Wall Tap,$3.44,N/A,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=322895983,"Shark Navigator® Lift-Away® XL Upright Vacuum, CU510",$99.00,$199.00,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=10315480,"Great Value Original Syrup, 24 fl oz",$1.33,N/A,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=55509146,"Mainstays 20"" Pool Brush with Aluminum Back and Blue&White PP Bristle",$7.57,$9.96,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=449065007,"NARWHAL Recreational Steel Tip Darts, Set of 6",$5.12,N/A,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=166704552,"Gator 3""x 4""x 1""Angled 60/80 Grit Sanding Sponge",$2.76,N/A,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=10315480,"Great Value Original Syrup, 24 fl oz",$1.33,N/A,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=775305647,Hefty 20.4 Gal. XL Divided Trash Can,$23.87,N/A,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=454392316,Chemical Guys 7 Piece Wash & Shine Kit,$20.00,$39.88,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=139136913,"Rainbow High Large Doll - My Runway Friend, Amaya Raine Special Edition Fashion Doll in an all new size (24-inches tall) with 14-inches of long Multicolored Rainbow hair & 25+ Accessories. Ages 6-12",$69.00,N/A,Limited Stock
https://brickseek.com/walmart-inventory-checker/?sku=388234178,"Munchkin The Baby Toon™ Silicone Teething Spoon, Elephant",$1.56,N/A,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=298459062,"Power Acoustik Car Stereo Combo | Car Play/Android Auto Receiver & (4) 6.5"" Speakers | 7"" HD LCD with Capacitive Touchscreen & Bluetooth | Double Din | CPAAM7-S2",$100.00,$150.00,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=931840530,Disney Ultimate Princess Celebration Magic In Motion Rapunzel Feature Doll,$35.00,$49.74,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=488458207,"Fiskars Deco Flip Sharpener - Teal Marble, 1pc, 195860-4017",$0.50,$1.00,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=975143089,"Yada RoadCam 720p Black Dash Camera, 120-Degree Wide Angle Lens, G-Sensor Technology with Park and Record , 2"" LCD Screen, BT58240-72",$10.00,$19.00,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=664157060,The Pioneer Woman Breezy Blossoms Table Lamp,$9.00,$21.00,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=372588821,Way To Celebrate Black Luster 16-Ounce Stemless Wine Tumbler With Straw,$1.00,N/A,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=806908232,"SAMSUNG 34"" Class Flat LED Ultra WQHD Monitor (3,440 x 1,440) - 75Hz, 4ms Response, FreeSync, Display Port, HDMI (x2) - LS34J552WQNXZA",$249.00,$279.00,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=297597476,Secret Treasures Women's and Women's Plus Velour Jogger,$1.00,$7.00,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=346539202,Venom (Blu-ray + DVD + Digital Copy),$14.96,N/A,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=51259411,Celery Stalk,$1.48,N/A,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=976336158,Secret Treasures Women's and Women's Plus Velour Jogger,$1.00,N/A,Limited Stock
https://brickseek.com/walmart-inventory-checker/?sku=422966779,"Genuine Dickies Men's Boxer Brief, 3 Pack",$6.00,N/A,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=907427337,Little Tikes® 3-in-1 Garden to Table Market Pretend Garden Food Growing and Cooking Toy Role Play Kitchen Playset for Multiple Kids and Toddlers,$69.00,N/A,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=262665058,"Yada RoadCam 720P Mirror Camera, 120-Degree Wide Angle Lens, G-Sensor Technology with Park and Record , 2.4"" LCD Screen, BT58243-6",$10.00,$19.00,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=10535153,"Thomas' Plain Original Pre-Sliced Bagels, 6-Count",$3.48,N/A,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=44435981,"Nitro Golf Pro V1 Golf Balls, Used, 12 Pack",$5.88,N/A,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=369878147,Gorilla Glue Heavy Duty Spray Adhesive 14 Ounce Can,$9.50,N/A,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=639196700,"Spectracide Home Barrier Bug Stop Flip and Go Insect Repellent, 64 Ounce",$5.00,N/A,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=782010436,Shark® Steam & Scrub All-in-One Scrubbing and Sanitizing Hard Floor Steam Mop S7000,$99.00,$129.00,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=718283917,"McDavid Sport Injury and Pain Relief Black Compression Knee Sleeve with Open Patella, Large/Extra-Large",$9.97,N/A,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=314538812,Mcdavid Sports Self-stick Tape 1pk Black,$3.50,N/A,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=10316158,"Bayer Chewable Aspirin Regimen Low Dose Pain Reliever Tablets, 81mg, Orange, 108 Ct",$5.88,$6.36,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=354571028,HyperTough Stripper / Crimper and 25 Piece Terminal Set TD2173TB,$4.97,N/A,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=487380662,Hyper Tough Analogue Multimeter TD35090B,$14.94,N/A,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=567187302,Hyper Tough 10-Piece 1 inch Screwdriver Bits AU85036K,$1.94,N/A,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=17473963,"Bulldog Hardware 1-1/4 in. 16 Gauge Wire Nail, 2 oz. Pack",$1.08,N/A,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=13045044,"Great Value Disposable Plastic Flexible Straws, 100 Count",$0.98,N/A,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=114737043,The Blockbuster Game: A Movie Party Game for the Whole Family,$14.88,N/A,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=806641535,"PAW Patrol, Chase Larger Than Life Movie Vehicle (Walmart Exclusive)",$9.97,N/A,Limited Stock
https://brickseek.com/walmart-inventory-checker/?sku=513484426,"Philips Norelco Aquatouch, Rechargeable Wet & Dry Shaver with Click-On Precision Trimmer, S5090/87",$44.97,N/A,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=186492846,"HyperTough, Medium Removable Hooks, 2 Square White Hooks, 2 White Adhesive Strips, Holds 2 lbs",$1.47,N/A,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=321353052,Need for Speed Heat - PlayStation 4,$16.93,$19.93,Limited Stock
https://brickseek.com/walmart-inventory-checker/?sku=387794631,"BrellaShade Pop Up Windshield Umbrella by Sharper Image - Blocks UV Rays, Keeps Cars Cooler & Protects Car Interior",$6.00,$11.00,Limited Stock
https://brickseek.com/walmart-inventory-checker/?sku=884720752,Hyper Tough 18 Gallon Locking Lid,$7.98,N/A,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=675437528,Hyper Tough 14 Gallon Locking Lid,$6.48,N/A,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=841186935,Athletic Works Steel Basketball Net,$8.18,N/A,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=476210760,"Mainstays 10-Count Indoor LED Fairy Globe Lights, with Transparent Wire, Corded Electric, 4.5 Volt",$10.42,N/A,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=347556477,"Time and Tru Women’s Hiker Boots, Wide Width Available",$7.00,N/A,Limited Stock
https://brickseek.com/walmart-inventory-checker/?sku=48901105,"Hyper Tough Quick Release 6-inch U Hook for Snap Rail System, Black, Steel",$6.14,N/A,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=627490540,"Hoover ONEPWR Blade+ Cordless Stick Vacuum Cleaner, BH53315",$124.00,$158.00,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=478216502,"HART Heavy Duty 4-tier, 600lb Capacity Plastic Ventilated Shelf",$41.56,$60.00,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=752463234,"Resident Evil 3, Capcom, Xbox One, 013388550463",$24.28,$29.83,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=647826350,"Lodge Enameled Cast Iron 5.5 Quart Dutch Oven, in Red",$41.48,N/A,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=315597138,Brilliance Fine Jw 10k Rg Bfj Oct Trd Amy Cz Ring,$35.00,$89.00,Limited Stock
https://brickseek.com/walmart-inventory-checker/?sku=45848369,Wilton Bake it Better Non-stick Angel Food Cake Pan,$9.17,N/A,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=204611538,"Legendary Fishing, Ubisoft, Nintendo Switch, 887256037291",$17.93,$19.93,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=474414890,"Happy Hiker On the Go First Aid Kit 65 pieces by Be Smart Get Prepared – Camping, Hiking, Running, Boating, Fishing, Outdoor",$8.12,N/A,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=17474060,Hyper Tough Multi-Tool and Screwdriver Holder for Pegboard Organization,$2.97,N/A,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=879558262,"Zebco Splash Spincast Reel and Fishing Rod Combo, 6-Foot 2-Piece Fishing Pole, Size 30 Reel, Changeable Right- or Left-Hand Retrieve, Pre-Spooled with 10-Pound Zebco Line, Green",$19.73,$19.74,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=510764906,Clout Fitness Barbell Clamps 2in,$10.11,$10.12,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=461026612,"Mossy Oak Swivel Blind Chair, Black",$20.00,$49.94,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=186492846,"HyperTough, Medium Removable Hooks, 2 Square White Hooks, 2 White Adhesive Strips, Holds 2 lbs",$1.47,$4.38,In Stock
