Item Link,Title,New Price,Old Price,Availability
https://brickseek.com/walmart-inventory-checker/?sku=298310265,LEGO City Race Buggy Transporter 60288 Fun Building Toy for Kids (210 Pieces),$5.28,$12.00,Limited Stock
https://brickseek.com/walmart-inventory-checker/?sku=434066080,Thomas & Friends TrackMaster Sodor Steamies Train Engines Set,$12.16,N/A,Limited Stock
https://brickseek.com/walmart-inventory-checker/?sku=722155913,"Athletic Works Men's Mesh Boxer Brief, 3-pack",$2.00,$3.00,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=11051042,Trac-Ball Classic,$4.82,$6.88,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=914374241,"Athletic Works Mens Mesh Boxer Briefs, 3-pack",$2.00,$3.00,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=948366370,LEGO VIDIYO Candy Mermaid BeatBox 43102 Building Toy (71 Pieces),$9.60,N/A,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=312784263,1 LEGO Minifigures Looney Tunes 71030 Cool Building Toy (1 of 12 to Collect),$1.64,$3.73,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=709547138,"Mega Construx Masters Of The Universe Skeletor And Panthor Construction Set, Building Toys For Kids",$6.00,$11.24,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=142085289,"Conair Wild Primrose 1"" Straightener, Model CS650",$32.37,$39.97,Limited Stock
https://brickseek.com/walmart-inventory-checker/?sku=811579107,"Cricut Mosaic Iron-On, Metallic Silver Squares",$4.00,$9.31,Limited Stock
https://brickseek.com/walmart-inventory-checker/?sku=328601045,LEGO Star Wars Sith Troopers Battle Pack 75266 Stormtrooper Speeder Vehicle Building Kit (105 Pieces),$3.37,$10.10,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=941177001,Mega Construx Masters Of The Universe Battle Cat Vs. Roton,$5.22,$14.41,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=759758080,"Ghostbusters Kenner Classics Ghostpopper Retro Blaster Action Toy, 6 Foam Pops Projectiles",$4.97,$14.31,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=238851969,"Better Homes & Gardens Farmhouse-Style White Galvanized Oval Tub, Medium Size",$4.00,$8.94,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=576994174,"PAW Patrol, Dino Rescue Collectible Blind Box Mini Figure and Mystery Dinosaur (Style May Vary)",$0.97,$3.00,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=863310256,"Modern Moments by Gerber Baby Girls' Wiggle Proof Socks, 2 Pack",$2.00,$2.84,Limited Stock
https://brickseek.com/walmart-inventory-checker/?sku=142106932,PLAYMOBIL Volkswagen T1 Camping Bus,$11.19,N/A,Limited Stock
https://brickseek.com/walmart-inventory-checker/?sku=915642434,LEGO City Central Airport 60261 Building Toy for Kids Ages 4+ (286 Pieces),$12.00,$36.00,Limited Stock
https://brickseek.com/walmart-inventory-checker/?sku=700436661,LEGO NINJAGO Legacy Kai Fighter 71704 Ninja Building Toy for Ages 8+ (513 Pieces),$10.56,$24.00,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=661378059,"Acer Chromebook Spin 311 CP311-3H-K3WL Convertible Laptop, MediaTek MT8183C Octa-Core Processor, 11.6"" HD Touchscreen, 4GB LPDDR4X, 32GB eMMC",$54.00,$109.00,Limited Stock
https://brickseek.com/walmart-inventory-checker/?sku=580241441,LEGO NINJAGO Epic Battle Set – Zane vs. Nindroid 71731 Spinning Battle Toy Playset (56 Pieces),$7.48,$9.97,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=380091567,"Pokemon Sun and Moon Crimson Invasion Elite Trainer Box Collectible Cards, Multicolor ETB",$10.44,$22.38,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=808336378,Pokemon XY12 Elite Trainer Box- Walmart Exclusive- Featuring Blastoise,$10.44,$22.38,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=116477841,"El Monterey Flour Taquitos Chicken & Cheese 20ct, 20oz",$5.09,N/A,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=617546364,Sony WH-CH700N Wireless Noise-Canceling Over-Ear Headphones (Black),$69.00,$99.00,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=682193352,ZAGG InvisibleShield Hybrid Screen Protector for iPhone 12 Mini,$2.00,N/A,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=622792220,Lenovo Smart Clock Essential,$29.98,$49.00,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=971609101,"Uncrustables® Chocolate Flavored Hazelnut Spread Sandwich, 10-Count Pack",$5.49,N/A,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=802255578,"Avia Ladies Value Low Cut Sock, 15 Pack",$1.00,N/A,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=948651208,Better Homes & Gardens Antique Farmhouse-Style 2-Tier Serving Tray Stand,$11.00,$17.88,Limited Stock
https://brickseek.com/walmart-inventory-checker/?sku=785978396,HART 40-Volt Cordless 12-inch String Trimmer and Blower Combo,$158.00,$178.00,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=197738272,SteelSeries APEX 100 GAMING KEYBOARD,$24.88,$29.77,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=149832359,LEGO Minifigures Harry Potter Series 2 (71028) Building Kit Toys (1 of 16 to Collect) (1 Lego Minifigure),$3.73,$4.97,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=171816113,EastPoint Sports Volleyball Badminton Combo Set with BONUS Oversized Volleyball,$2.50,N/A,Limited Stock
https://brickseek.com/walmart-inventory-checker/?sku=403613466,LEGO Super Mario Toad’s Treasure Hunt Expansion Set 71368 Toad Building Toy for Kids (464 Pieces),$42.00,N/A,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=965427395,Sony WIXB400/B Wireless In Ear Headphones Built In Microphone Black,$29.88,$39.88,Limited Stock
https://brickseek.com/walmart-inventory-checker/?sku=719304490,Noble Collections Harry Potter Mystery Wand Series 2 - Contains 1 of 9 Random Styles for Unboxing,$5.55,$13.88,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=170733376,MATUA SAUVIGNON BLANC MARLBOROUGH NZ 750ml,$9.73,N/A,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=132980473,"Trolls World Tour Walkie Talkies for Kids. 2 Way Handheld Radios, Long Range and Static Free. Kids Toys, Best Gifts, Outdoor Indoor Toys for Toddler Boy & Girls 3 Year Old & Up, Outside Games and Acti",$3.36,$9.97,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=709547138,"Mega Construx Masters Of The Universe Skeletor And Panthor Construction Set, Building Toys For Kids",$11.24,$14.99,In Stock
https://brickseek.com/walmart-inventory-checker/?sku=980808377,Wonder Nation Toddler Girls Knit Dress,$3.00,$4.96,In Stock
